,sent,received
0,0j,(71.52056741207299+19j)
1,(1.181985859871077+0.7091915159226462j),(-0.3026905701117041+1.1867385164865651j)
2,(1.181985859871077+0.2363971719742154j),(0.11657304353349617+1.1601930359480221j)
3,(0.7091915159226462+0.7091915159226462j),(-0.45465670463883295+1.001933338620591j)
4,(-0.7091915159226462-0.2363971719742154j),(0.034311328071952245-0.7740382071468769j)
5,(-0.7091915159226462+0.7091915159226462j),(-1.0697239071770148-0.479151681588683j)
6,(-0.2363971719742154-1.181985859871077j),(1.0684352802097206-0.5184749577001498j)
7,(0.2363971719742154+1.181985859871077j),(-1.078661891237155+0.6173094847568948j)
8,(1.181985859871077+0.2363971719742154j),(0.3541582934881395+1.094866713268482j)
9,(-1.181985859871077+0.2363971719742154j),(-0.6120108965003527-1.0711747763077293j)
10,(0.2363971719742154-0.2363971719742154j),(0.2567757912584315+0.1256409409791986j)
