,sent,received
0,0j,(8.454855707936398+19j)
1,(1.181985859871077-0.2363971719742154j),(1.1990596971524754+0.16543034252882374j)
2,(1.181985859871077-0.7091915159226462j),(1.2852721102604747-0.5773103073254034j)
3,(-0.7091915159226462+1.181985859871077j),(-0.7947509701318126+1.0570251262416441j)
4,(0.2363971719742154+1.181985859871077j),(-0.0057943802476063955+1.1073831133924343j)
5,(-0.7091915159226462-0.7091915159226462j),(-0.5786919397791596-0.7516791263400787j)
6,(0.7091915159226462+0.7091915159226462j),(0.6371833737563204+0.753945389786391j)
7,(-0.7091915159226462-1.181985859871077j),(-0.5514184023806221-1.307234836699386j)
8,(-0.7091915159226462+0.7091915159226462j),(-0.8167262619617383+0.7042098842461643j)
9,(-0.7091915159226462-0.7091915159226462j),(-0.5526211179211105-0.7122764147245582j)
10,(-0.2363971719742154+0.7091915159226462j),(-0.4463523032448561+0.5495398196810047j)
