,sent,received
0,0j,(35.92949911829757+28j)
1,(0.4089883410292062+1.2269650230876188j),(-0.3958084666102722+1.2474995702415907j)
2,(0.08179766820584125-1.0633696866759363j),(0.6988583283748224-0.8036277085162297j)
3,(-0.24539300461752375+1.2269650230876188j),(-0.9211857597001842+0.8199025782293948j)
4,(1.0633696866759363+0.4089883410292062j),(0.6316279543395023+0.9600775556234609j)
5,(0.24539300461752375-0.08179766820584125j),(0.2693610609396946+0.05986351062432689j)
6,(1.0633696866759363+1.0633696866759363j),(0.27330201389136544+1.5278362778672414j)
7,(-0.8997743502642538+0.5725836774408888j),(-1.0815867081228112-0.05715725434938626j)
8,(1.2269650230876188-0.5725836774408888j),(1.3174044353484504+0.22190905018307494j)
9,(-1.2269650230876188-0.7361790138525712j),(-0.5130368943159501-1.385494055353271j)
10,(-0.08179766820584125+0.8997743502642538j),(-0.6292896774643401+0.6819908208156592j)
