K,SNR,SML Results
10.0,19.0,0.037885387119052934
20.0,19.0,0.013823911916379522
30.0,19.0,0.005938079860251451
40.0,19.0,0.002231551709818436
50.0,19.0,0.0015471146621778694
60.0,19.0,0.00234795551472301
70.0,19.0,0.0022640601662539043
80.0,19.0,0.004867101178779834
90.0,19.0,0.0019873701122778906
100.0,19.0,0.0007007714481502492
10.0,24.0,0.0014532696401399088
20.0,24.0,0.00044451423642264364
30.0,24.0,0.0002897825209735747
40.0,24.0,0.00022059680358186103
50.0,24.0,0.0001734060603455245
60.0,24.0,0.0001423001944016963
70.0,24.0,0.00012280623394786492
80.0,24.0,0.00014040468040854784
90.0,24.0,0.0001436846418281995
100.0,24.0,0.00009014308319525108
