,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
12,(-0.22360679774997896+0.6708203932499369j),(-0.35818725952526914+0.5789015616661545j),(-0.39793518674735107+0.6033074680786068j),(-0.46690424585747414+0.32312963913431997j),(-0.47450151444548083+0.4996242483746556j),(-0.6218807561478081+0.37480167474164977j),(-0.6278265177371511+0.32082192943538157j),(-0.7041703842129975+0.24712280411203616j),(-0.677445152241437+0.09381743881644707j),(-0.7083831268171977-0.004200526720326336j),(-0.7184124222234576-0.08758541894622993j)
13,(0.22360679774997896-0.6708203932499369j),(0.3742925855739456-0.5121220463782559j),(0.3482788787969848-0.6195432979406527j),(0.3963835024086714-0.6606924424858092j),(0.382609444804311-0.4819688035161806j),(0.4479246903769297-0.45445670472946514j),(0.7113439515406381-0.3266676030554534j),(0.7607726119132452-0.08911761474335857j),(0.7456510531484282-0.14961661021458622j),(0.6899754432744475+0.145998234585683j),(0.6592570697629013+0.07405876811912161j)
14,(-0.22360679774997896+0.6708203932499369j),(-0.47561068857852473+0.5238375536763797j),(-0.35359467563584734+0.5762653602447093j),(-0.435091228845419+0.4982953015452762j),(-0.507710417211246+0.46550066118441746j),(-0.7267505762151115+0.08590661773432717j),(-0.6329114843829965+0.33581507696992874j),(-0.5960313486609377+0.024943877766943442j),(-0.7015192761366768+0.1167785065878084j),(-0.7077474665226697-0.08158988007273157j),(-0.7494892095415826-0.07557850771815708j)
15,(-0.6708203932499369+1.118033988749895j),(-1.0982115048078582+0.9111621777675555j),(-0.8922903980347704+0.8688586316031374j),(-0.9471527613202568+0.6408379703398066j),(-1.0482920258024562+0.6885769703201032j),(-1.2958514245397186+0.24458982780196428j),(-1.2378591309286249+0.3602094440011245j),(-1.3194508064315706-0.06057163884598016j),(-1.3046292749408583-0.1391589429708374j),(-1.2971323964644457-0.42039736880121864j),(-1.237279444114502-0.37099690024046045j)
16,(0.22360679774997896-0.22360679774997896j),(0.29629866159629276-0.11480534147487598j),(0.21202202479209056-0.17108297366087694j),(0.2292091727779047-0.10624610796133689j),(0.32436710523557155-0.13087170875483678j),(0.15967535496943855+0.009883181817324586j),(0.24385482248634713+0.08790407424616276j),(0.22889162536745467+0.14432864764568187j),(0.29700065217706406+0.10601185420401507j),(0.18047526404628916+0.16632147166815173j),(0.3612664102699362+0.14416674894152365j)
17,(-0.22360679774997896+0.6708203932499369j),(-0.46770744194251435+0.4847548408860252j),(-0.368950818322378+0.6230597794093372j),(-0.6503551225582384+0.47596654110433334j),(-0.47078749857853835+0.5268151652149196j),(-0.6021901542371791+0.30649554380532346j),(-0.6793200732804043+0.31617047131404935j),(-0.776436016312263+0.039442907807106416j),(-0.601643452782905+0.11349591103164303j),(-0.6372623004420865-0.09282519759133467j),(-0.6923758008420599-0.0515532611786234j)
18,(0.22360679774997896-1.118033988749895j),(0.4380235977946307-1.0700681407228063j),(0.5540913886097489-0.975011494517877j),(0.8177599420338412-0.8281132839785588j),(0.7594769849374982-0.8320469846535001j),(0.8791413110746974-0.6282922467527009j),(0.9599288298398718-0.6498239255280548j),(1.1580840544589759-0.32282916736104617j),(1.1372943416184933-0.18056134483058325j),(1.1938915984161995-0.03540704045848403j),(1.1345725311695904-0.044348545173715594j)
19,(0.22360679774997896-1.118033988749895j),(0.5798157155513078-0.9542655739998509j),(0.47846851590932415-0.9566267312510068j),(0.682002054993122-0.9155284717192569j),(0.647919271247988-0.9665305601722602j),(1.0487562604471414-0.5575594256862597j),(0.8588066885438898-0.6694621611509713j),(1.1028625828972467-0.3149664970863068j),(1.1797544729766334-0.2596119750039149j),(1.028441056090843-0.08913637390557581j),(1.053088753951224-0.10332823931207362j)
20,(1.118033988749895-0.22360679774997896j),(1.0670136255487477+0.12975270376229298j),(1.0794234642731555+0.04489108349715331j),(1.075597444101352+0.3021288082336457j),(1.0843376727300087+0.23831949076582887j),(0.9452616868395011+0.524253003334389j),(0.9950788127688798+0.68038040486798j),(0.546278260105576+1.0304015715245582j),(0.6272219771646559+0.8778211080741685j),(0.6059528028350175+1.119428838726353j),(0.5642966565443178+0.9983547983904656j)
21,(0.22360679774997896+1.118033988749895j),(-0.10230759220877737+1.1444312093040474j),(-0.10032499678327078+1.2256618706333866j),(-0.3332645998714112+1.1710187754686372j),(-0.28137138609648754+1.1367558053222568j),(-0.3944457325775681+0.9907146756565355j),(-0.6346450440819158+0.9729213415352737j),(-0.8641933571477299+0.7059289185982391j),(-0.9242683797655794+0.6602383913068687j),(-1.0373924133431296+0.45014574323200773j),(-1.0030464605717784+0.4184472210113205j)
22,(0.22360679774997896+1.118033988749895j),(0.03287941346753928+1.1036298104132176j),(-0.100649956624601+1.109391502813671j),(-0.3015575361412465+1.0973595530407394j),(-0.2627052417786532+1.14817737203664j),(-0.41851020033573627+0.894918259316848j),(-0.6734978831310463+0.9537591385755338j),(-0.9949248418927387+0.6021889666215742j),(-0.894165538094888+0.7592534714371997j),(-1.1522454923441+0.49102236295728535j),(-0.9097469473307439+0.48648066675814194j)
23,(0.6708203932499369+1.118033988749895j),(0.28964164205723164+1.3077523093127152j),(0.3494891100691017+1.2778995006160458j),(0.0511616113651818+1.2499903674436488j),(0.14528043082949443+1.2900207914911974j),(-0.40769831015839975+1.3986363691740988j),(-0.3478526396325407+1.2565532628365654j),(-0.7075503508534114+1.0744607503825667j),(-0.7847530413897852+1.0268916139760196j),(-0.9846017433806894+0.9895359214122764j),(-0.8818304169650372+1.0179316591279648j)
24,(0.6708203932499369+0.22360679774997896j),(0.3675324719355526+0.49798148766110273j),(0.6045294748862445+0.35442866080448093j),(0.5849174723755437+0.44846679875239626j),(0.4803884139964971+0.5277598239825959j),(0.26023285329114176+0.7351542690224637j),(0.30210864051920594+0.6958091174839436j),(0.027778356197554234+0.7147458201346619j),(0.025682910956168564+0.7517342551160153j),(0.043036582981956895+0.7992229974013157j),(-0.05465431563383314+0.7186301891099091j)
25,(-0.6708203932499369-0.22360679774997896j),(-0.5799221759499513-0.46107288247878686j),(-0.5824932349813937-0.34614429540832226j),(-0.5539434126280679-0.5602556391797441j),(-0.5053093310447997-0.49713098618203627j),(-0.36673028946780956-0.627284653098693j),(-0.28629868473325937-0.6408541522557066j),(-0.05997102299891498-0.6802937614922216j),(-0.09160322758232425-0.6804457722191668j),(0.10759860439897796-0.6874439772540117j),(0.10564447107567676-0.7529615977141714j)
26,(0.22360679774997896-0.6708203932499369j),(0.542723763578731-0.5264929609802551j),(0.3960096242904206-0.560173282598692j),(0.5858797200156854-0.457468586380692j),(0.49249166362766666-0.46770911056242415j),(0.6329901672519886-0.3033522401665289j),(0.6402440198873693-0.3239801369985816j),(0.6373102758984219-0.025961951860306455j),(0.7104981083852883-0.05176367465320414j),(0.6282721146366479+0.015684845299604608j),(0.821047881650677+0.05582894153143151j)
27,(0.6708203932499369-1.118033988749895j),(0.8955478736877522-0.8408292029711141j),(0.8873729183258103-0.8451650679468986j),(1.1394310210845144-0.7247600211777341j),(1.0210313415006822-0.7714761636672183j),(1.2285984221875144-0.3173887354616255j),(1.2526353236679253-0.2566438570154468j),(1.3024454465763347+0.16622934383195037j),(1.293155196375664+0.14212227113480821j),(1.3505529882221616+0.3613796881039574j),(1.1521260042736825+0.4573476702249114j)
28,(0.22360679774997896+0.22360679774997896j),(0.08697295967780558+0.3360836611929348j),(0.19533949153195576+0.3343617817445235j),(0.2825195262815206+0.38837987208109237j),(0.09553422412328579+0.3211149123652368j),(0.0278109125150202+0.2548211258079154j),(-0.021142683683106664+0.3501228375259891j),(-0.2072411761119966+0.32034908524236894j),(-0.14091802860466185+0.27509339855794535j),(-0.30375185624376966+0.1752484257352105j),(-0.08823022214974366+0.25318806227839274j)
29,(1.118033988749895+0.22360679774997896j),(0.7853014629644489+0.5083438543718884j),(0.9911809812326244+0.42481491457120596j),(0.8705761999489802+0.6874891028957785j),(0.9375573677920671+0.6598301105887076j),(0.6409006662165129+1.0549580161654706j),(0.6681773500614263+0.9358518993683996j),(0.38846402742349495+1.2428577082393244j),(0.35544978971025204+1.1031285662309536j),(0.020471302764778737+1.091610315128818j),(0.038714003248333184+1.1668082129089152j)
30,(1.118033988749895-0.6708203932499369j),(1.183953205211264-0.28182475627900494j),(1.2497756827781796-0.3269680766561765j),(1.2324886580904049-0.12118891120051442j),(1.3381223359958516-0.17367009528512684j),(1.3724136688489745+0.24844760460923682j),(1.2869441304494649+0.3443453941053105j),(1.0363453393159587+0.6902297013141937j),(1.034786142307022+0.7564785543409941j),(0.8988003950480178+0.7973305195665465j),(0.9226269892170101+0.9240769841397779j)
