K,SNR,PL Results
10.0,22.0,0.053260668833399846
20.0,22.0,0.02250737571465628
30.0,22.0,0.012271350841587158
40.0,22.0,0.0075331939329588435
50.0,22.0,0.005617706488686548
60.0,22.0,0.004232658611675626
70.0,22.0,0.0034767682525419195
80.0,22.0,0.00283373975049751
90.0,22.0,0.0024398427633116884
100.0,22.0,0.002138025183645393
110.0,22.0,0.0018999418654198506
120.0,22.0,0.0017636837888743244
130.0,22.0,0.0016137675614374476
140.0,22.0,0.0014782727627109284
150.0,22.0,0.0013737745903591237
160.0,22.0,0.0012388044033216513
170.0,22.0,0.0012085485229005358
180.0,22.0,0.0011058151476709445
190.0,22.0,0.0010655644397643514
200.0,22.0,0.001008097696540136
210.0,22.0,0.0009318904913221813
220.0,22.0,0.0009020057565535298
230.0,22.0,0.000842149474200971
240.0,22.0,0.0008188497585346528
250.0,22.0,0.0007881323569668726
260.0,22.0,0.0007472644890697709
270.0,22.0,0.0007326297248819933
280.0,22.0,0.0006908977375538578
290.0,22.0,0.0006705229789460214
300.0,22.0,0.0006405081444788738
310.0,22.0,0.0006425151863689004
320.0,22.0,0.0006100323139695624
330.0,22.0,0.0005942416595261942
340.0,22.0,0.0005822715683964077
350.0,22.0,0.0005382738468477821
360.0,22.0,0.0005382051126361432
370.0,22.0,0.00052439701683856
380.0,22.0,0.0005016186976383773
390.0,22.0,0.0005003550964946732
400.0,22.0,0.0004977947201024538
410.0,22.0,0.00046765905670644194
420.0,22.0,0.0004547218393688322
430.0,22.0,0.0004524565679627385
440.0,22.0,0.0004353132005941334
450.0,22.0,0.00042898726115115
460.0,22.0,0.0004120360968326132
470.0,22.0,0.0004140181581856705
480.0,22.0,0.00040884416230461317
490.0,22.0,0.00039187678322039174
500.0,22.0,0.00037775826086329576
510.0,22.0,0.00036828610633867707
520.0,22.0,0.000356117005347495
530.0,22.0,0.00036123247963162306
540.0,22.0,0.00035222140547575985
550.0,22.0,0.00034927153829201666
560.0,22.0,0.00034454829265344246
570.0,22.0,0.00032890588928699766
580.0,22.0,0.0003392590439684528
590.0,22.0,0.00032727031022092474
600.0,22.0,0.0003188613309092637
10.0,27.0,0.04999871095446719
20.0,27.0,0.021006013835963146
30.0,27.0,0.011718334352342048
40.0,27.0,0.007384179863570546
50.0,27.0,0.004852469325240714
60.0,27.0,0.003696175135047261
70.0,27.0,0.0030976992178440915
80.0,27.0,0.0026771408725203114
90.0,27.0,0.0021863257489696864
100.0,27.0,0.0019897084496932347
110.0,27.0,0.001812180754989759
120.0,27.0,0.001606929256833683
130.0,27.0,0.0014405584240783878
140.0,27.0,0.001420112003211024
150.0,27.0,0.0012352457571524265
160.0,27.0,0.0011768405229521173
170.0,27.0,0.0010861017510294404
180.0,27.0,0.0010590201360251563
190.0,27.0,0.0010200391664417165
200.0,27.0,0.0009513371235383149
210.0,27.0,0.0008861267531308631
220.0,27.0,0.0008401879729742017
230.0,27.0,0.0007991989503361204
240.0,27.0,0.000772831036519469
250.0,27.0,0.0007212333154882379
260.0,27.0,0.0007160720097979191
270.0,27.0,0.0006853735919646718
280.0,27.0,0.0006411036730040007
290.0,27.0,0.0006252912006207391
300.0,27.0,0.0005950314841648726
310.0,27.0,0.0005877647583859166
320.0,27.0,0.0005562845304600619
330.0,27.0,0.0005413549280020958
340.0,27.0,0.0005311509488494092
350.0,27.0,0.000515932089998623
360.0,27.0,0.0005008262171571081
370.0,27.0,0.0004825417295125443
380.0,27.0,0.0004809317397031409
390.0,27.0,0.0004673840382306941
400.0,27.0,0.0004605103164253964
410.0,27.0,0.00043432020732737443
420.0,27.0,0.00042476167333332986
430.0,27.0,0.0004294515235366517
440.0,27.0,0.0004011747367532787
450.0,27.0,0.00038442189258314045
460.0,27.0,0.00037781778972798094
470.0,27.0,0.0003838406830785932
480.0,27.0,0.0003741084802771486
490.0,27.0,0.0003654263394214708
500.0,27.0,0.0003634824903365297
510.0,27.0,0.00036219729601873467
520.0,27.0,0.00033407267264866575
530.0,27.0,0.00034488286942697266
540.0,27.0,0.0003330727890498518
550.0,27.0,0.000322527354498833
560.0,27.0,0.0003154526480185281
570.0,27.0,0.0003072915375636416
580.0,27.0,0.0003060852332946719
590.0,27.0,0.00030035308243153914
600.0,27.0,0.0002995025663620378
