K,SNR,SML Results
10.0,28.0,0.0042006841984076546
20.0,28.0,0.00041845531420910896
30.0,28.0,0.000047780880068381994
40.0,28.0,0.00002927724596589246
50.0,28.0,0.00003528432457116167
60.0,28.0,0.000016101171173479647
70.0,28.0,0.000013454509575716608
80.0,28.0,0.000011681602256179142
90.0,28.0,0.000010626157635918819
100.0,28.0,9.296823608353393e-6
10.0,33.0,0.000026825560838913516
20.0,33.0,0.000025644632174145406
30.0,33.0,8.960574121078246e-6
40.0,33.0,7.734493863717177e-6
50.0,33.0,5.448637975180047e-6
60.0,33.0,4.9331801086115534e-6
70.0,33.0,3.890707987312635e-6
80.0,33.0,3.2383871972367557e-6
90.0,33.0,2.8087895781102513e-6
100.0,33.0,2.6999682847239664e-6
