K,SNR,PL Results
10.0,28.0,0.05444284332580803
20.0,28.0,0.023813358421399373
30.0,28.0,0.013103803950106633
40.0,28.0,0.008338366894662181
50.0,28.0,0.005527233140632526
60.0,28.0,0.0046782930884455495
70.0,28.0,0.003698797431265704
80.0,28.0,0.0031531623009823564
90.0,28.0,0.0028251372495649986
100.0,28.0,0.002444951286878396
110.0,28.0,0.0021051312429205223
120.0,28.0,0.001959553140516928
130.0,28.0,0.0018095815696058735
140.0,28.0,0.0016210433310303483
150.0,28.0,0.00155795271444852
160.0,28.0,0.0014315648143504163
170.0,28.0,0.0012865812285131912
180.0,28.0,0.001255711068898783
190.0,28.0,0.0011812664861513308
200.0,28.0,0.0011197092604861858
210.0,28.0,0.0010623188661785113
220.0,28.0,0.0010255070664609341
230.0,28.0,0.0009555085563747543
240.0,28.0,0.0009321283134230658
250.0,28.0,0.0008806455910240869
260.0,28.0,0.0008298801122444907
270.0,28.0,0.0008165333865763939
280.0,28.0,0.0007891458700966863
290.0,28.0,0.0007548802999742912
300.0,28.0,0.0007294335281953076
310.0,28.0,0.0006972845770163201
320.0,28.0,0.0006627461319790599
330.0,28.0,0.0006508437280399941
340.0,28.0,0.000636046147671526
350.0,28.0,0.0006080582412131169
360.0,28.0,0.0005949046783599403
370.0,28.0,0.0005660876195135987
380.0,28.0,0.0005501514348857002
390.0,28.0,0.0005465991304475905
400.0,28.0,0.0005389492753064338
410.0,28.0,0.0005282668376923585
420.0,28.0,0.0005069720144410456
430.0,28.0,0.0005001745001182001
440.0,28.0,0.0004716925705860382
450.0,28.0,0.0004734112094103275
460.0,28.0,0.0004588239571821659
470.0,28.0,0.0004621025551211899
480.0,28.0,0.0004496613829850439
490.0,28.0,0.00043290688042107447
500.0,28.0,0.00042768296553602123
510.0,28.0,0.0004064775290428384
520.0,28.0,0.0004117664040936284
530.0,28.0,0.0004048426809109088
540.0,28.0,0.0003927279407387605
550.0,28.0,0.0003841521560982945
560.0,28.0,0.000375930854285757
570.0,28.0,0.0003687815242701979
580.0,28.0,0.0003638470043094382
590.0,28.0,0.00036098303585177245
600.0,28.0,0.0003560381943969649
10.0,33.0,0.054534214633466534
20.0,33.0,0.0236782642406784
30.0,33.0,0.012873217681665307
40.0,33.0,0.008208973179863044
50.0,33.0,0.0058850560715458505
60.0,33.0,0.004671250162140776
70.0,33.0,0.003816099741811447
80.0,33.0,0.003181307628980121
90.0,33.0,0.00263399632182978
100.0,33.0,0.0023589896620419206
110.0,33.0,0.0021462811580683504
120.0,33.0,0.0019403673258201917
130.0,33.0,0.0017649925729604802
140.0,33.0,0.001612564882485114
150.0,33.0,0.0014884265189068597
160.0,33.0,0.0013789444292429418
170.0,33.0,0.0013044608785305397
180.0,33.0,0.0012183655429763682
190.0,33.0,0.00115910801082687
200.0,33.0,0.0010867591248414812
210.0,33.0,0.001024722365101606
220.0,33.0,0.000978007196748354
230.0,33.0,0.0009729084904287188
240.0,33.0,0.000893743641704809
250.0,33.0,0.0008590502809925523
260.0,33.0,0.0008090659530204885
270.0,33.0,0.00077990987497676
280.0,33.0,0.0007537056175551326
290.0,33.0,0.0007448588773538187
300.0,33.0,0.0006915634082386595
310.0,33.0,0.0006870134989891323
320.0,33.0,0.0006654004521539583
330.0,33.0,0.0006374227965167998
340.0,33.0,0.0006256596803147942
350.0,33.0,0.000605210054993258
360.0,33.0,0.0005919946656033827
370.0,33.0,0.0005728319357212434
380.0,33.0,0.000550786811960977
390.0,33.0,0.0005608174068878716
400.0,33.0,0.0005368806889000476
410.0,33.0,0.000519161139599606
420.0,33.0,0.0005094722717484954
430.0,33.0,0.000488989599065024
440.0,33.0,0.0004793413025324959
450.0,33.0,0.00046523508932633614
460.0,33.0,0.00045716629611485926
470.0,33.0,0.00044791700555697414
480.0,33.0,0.0004276887968723357
490.0,33.0,0.00041981042659876484
500.0,33.0,0.00042583535811499936
510.0,33.0,0.00040424957757066016
520.0,33.0,0.0004027333094518949
530.0,33.0,0.0003893685563473096
540.0,33.0,0.00037554829316867913
550.0,33.0,0.00037366694110464136
560.0,33.0,0.0003805646496380209
570.0,33.0,0.00036420976949497154
580.0,33.0,0.00036175464446591
590.0,33.0,0.0003484310799631992
600.0,33.0,0.0003444878930465537
