K,SNR,PL Results
10.0,25.0,0.13774424668264793
20.0,25.0,0.112663496942377
30.0,25.0,0.09580594023878046
40.0,25.0,0.08253526718476419
50.0,25.0,0.074324459806708
60.0,25.0,0.06469854451456761
70.0,25.0,0.05736247748029792
80.0,25.0,0.05181904608843979
90.0,25.0,0.048965240211017357
100.0,25.0,0.04218028307532897
110.0,25.0,0.039837996784888904
120.0,25.0,0.03634810258217456
130.0,25.0,0.03372743437637773
140.0,25.0,0.030934306999697424
150.0,25.0,0.029239166230417925
160.0,25.0,0.027131781566080492
170.0,25.0,0.026847319012721214
180.0,25.0,0.023716877258958765
190.0,25.0,0.023188703636198172
200.0,25.0,0.022003085058509283
210.0,25.0,0.02032401220369678
220.0,25.0,0.01841279270925739
230.0,25.0,0.018251712347853614
240.0,25.0,0.017898340486029972
250.0,25.0,0.016723762161178855
260.0,25.0,0.016125881884162807
270.0,25.0,0.015573491958146037
280.0,25.0,0.014603533892080139
290.0,25.0,0.014163552788534957
300.0,25.0,0.013569478100123737
310.0,25.0,0.01325850475831225
320.0,25.0,0.012890597998121223
330.0,25.0,0.012451194866375652
340.0,25.0,0.01182278393102179
350.0,25.0,0.011498345134567
360.0,25.0,0.011300673794187093
370.0,25.0,0.011176783036998168
380.0,25.0,0.010872105116735082
390.0,25.0,0.01006576043808029
400.0,25.0,0.00981820567870772
410.0,25.0,0.009652060266105229
420.0,25.0,0.009385300600274458
430.0,25.0,0.009443933434152138
440.0,25.0,0.009012734210436128
450.0,25.0,0.008667198933036116
460.0,25.0,0.008506245891330021
470.0,25.0,0.008599822927348665
480.0,25.0,0.008267094479141588
490.0,25.0,0.008139465983010224
500.0,25.0,0.007809917412787604
510.0,25.0,0.007781974879364119
520.0,25.0,0.007546352121378908
530.0,25.0,0.007365796689836836
540.0,25.0,0.0073706682515794625
550.0,25.0,0.006988717000437087
560.0,25.0,0.007038947033725627
570.0,25.0,0.006668498321022096
580.0,25.0,0.006892704370099994
590.0,25.0,0.006617077614398413
600.0,25.0,0.00644777433969647
10.0,30.0,0.13652677357257983
20.0,30.0,0.11296382084887537
30.0,30.0,0.09511175365415465
40.0,30.0,0.08316554816492207
50.0,30.0,0.07315295632112866
60.0,30.0,0.0629276540178185
70.0,30.0,0.05478581397310585
80.0,30.0,0.05014528719207963
90.0,30.0,0.04644083798482762
100.0,30.0,0.042247450892139105
110.0,30.0,0.03773539979333971
120.0,30.0,0.03534172873254903
130.0,30.0,0.03389649142535512
140.0,30.0,0.03102330422476502
150.0,30.0,0.02883731009588197
160.0,30.0,0.02707543064549335
170.0,30.0,0.02550068294218647
180.0,30.0,0.02326909476057472
190.0,30.0,0.022293744331546874
200.0,30.0,0.021282598440714943
210.0,30.0,0.020102176749239264
220.0,30.0,0.018537117691660245
230.0,30.0,0.018031515768035855
240.0,30.0,0.017625671702804935
250.0,30.0,0.016493091233221645
260.0,30.0,0.015276303050254356
270.0,30.0,0.014933460363085599
280.0,30.0,0.014255369886031594
290.0,30.0,0.013606498755356779
300.0,30.0,0.013346811470745049
310.0,30.0,0.012624038373183792
320.0,30.0,0.012322902655088683
330.0,30.0,0.012136220511988807
340.0,30.0,0.011902175087565253
350.0,30.0,0.011519490173279655
360.0,30.0,0.010995942412526214
370.0,30.0,0.010643592973134585
380.0,30.0,0.010348554544833872
390.0,30.0,0.009781731205318268
400.0,30.0,0.009595054187652989
410.0,30.0,0.009664694866144045
420.0,30.0,0.009347202510837883
430.0,30.0,0.009065711237856612
440.0,30.0,0.008835010279894438
450.0,30.0,0.008534076324907663
460.0,30.0,0.008530354125187439
470.0,30.0,0.008157471217702881
480.0,30.0,0.00805554530518363
490.0,30.0,0.007854973925561358
500.0,30.0,0.007600591361275377
510.0,30.0,0.007548732341602678
520.0,30.0,0.007385294399920491
530.0,30.0,0.007082829768163836
540.0,30.0,0.007160696446270711
550.0,30.0,0.007031646691701683
560.0,30.0,0.006885157905710251
570.0,30.0,0.006776590157193318
580.0,30.0,0.006509436811019471
590.0,30.0,0.006698942303950365
600.0,30.0,0.00642701740132923
