,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
0,0j,(15.74324+28j),(15.74324+33j),(25+28j),(25+33j),(45+28j),(45+33j),(65.3546372+28j),(65.3546372+33j),(75+28j),(75+33j)
1,(0.5368754921931592-0.9970544855015815j),(0.8115845507959198-0.7747410751557049j),(0.7860321723034853-0.7948367019196249j),(0.894384933811152-0.7022278893997295j),(0.9018816932490722-0.6969222855267986j),(1.109526886299487-0.36989819315507755j),(1.1079388712664813-0.3013392746060556j),(1.177461285012059+0.12556070394418412j),(1.1023371445736458+0.07124343746288941j),(1.1150847606343222+0.26572720208807515j),(1.0785002491528157+0.2685861140037633j)
2,(0.6902684899626333+0.9970544855015815j),(0.35246313832294385+1.1183858453110749j),(0.38070322344828783+1.1572244935808529j),(0.21087862321716197+1.18186896468218j),(0.18927799511392882+1.1937344270233115j),(-0.20405122582868185+1.2037154439866067j),(-0.21754477043385015+1.181236958113741j),(-0.6676433446371806+1.0536910275537195j),(-0.6093734691052853+1.0610027303441594j),(-0.8272352849623124+0.9544796525495703j),(-0.7843335660403624+0.898478116668582j)
3,(-0.3834824944236852-0.5368754921931592j),(-0.1965170416578791-0.5784283435510349j),(-0.22554722641472885-0.6135408440473871j),(-0.11823756851788227-0.6356462056440199j),(-0.10064752382881616-0.6545982988128557j),(0.07764895568012567-0.6826903778641981j),(0.10249314329242389-0.6538659318436748j),(0.30657820957984294-0.5398499114745824j),(0.3319396031205365-0.58729703634348j),(0.3799080803862933-0.5237260644013917j),(0.43996505006921566-0.5439672060459482j)
4,(-0.8436614877321074+0.3834824944236852j),(-0.9448549410353838+0.1091866394898291j),(-0.8982177969180146+0.13081081637375225j),(-0.9364761181073193-0.0039665721305128816j),(-0.9143591277193945-0.015427121130362594j),(-0.8329263995994092-0.2683476074499155j),(-0.8623784777585357-0.3192012965401298j),(-0.7102099606116759-0.6303846212295239j),(-0.6994212926769587-0.6091183107686439j),(-0.6174741782428954-0.709388885758085j),(-0.5905472391638064-0.7011051818732092j)
5,(-1.1504474832710556+0.07669649888473704j),(-1.1607448332450598-0.19136292219993523j),(-1.1285787908744782-0.23805864708942304j),(-1.0747266245268035-0.44566762650038505j),(-1.0894225532076443-0.4147764610805547j),(-0.8532481801626832-0.7913060844289983j),(-0.8493016709496302-0.7309400710321635j),(-0.5751471714736184-1.001072849346608j),(-0.521995708073522-1.008578160250244j),(-0.37572589178379934-1.0363287515902029j),(-0.371829309110983-1.060232567393431j)
6,(0.2300894966542111+0.6902684899626333j),(-0.01424184635281197+0.7426909646699331j),(0.05198727717457931+0.7225308226365891j),(-0.06406209188455754+0.7756991358677838j),(-0.08504293213295756+0.7243303523657677j),(-0.3070488724293978+0.6444616065896143j),(-0.34515186777832374+0.6504006212087969j),(-0.5336059200026995+0.49697849398115757j),(-0.5382485193610339+0.49688423013471744j),(-0.5840628176863722+0.33712738161065575j),(-0.648908795655952+0.4007170266004665j)
7,(0.3834824944236852+1.1504474832710556j),(0.033806776101946046+1.2392948159956954j),(0.0554173079752448+1.235547398827677j),(-0.127047113901197+1.2194405965685646j),(-0.1389492859567393+1.2025055581561865j),(-0.5156893282277387+1.0805685864207346j),(-0.541095956749235+1.0715668518046864j),(-0.9150835788551432+0.8222702311827577j),(-0.8886743229892738+0.8069797403989003j),(-0.9891616836377607+0.6333004102085503j),(-1.0082606830263738+0.6610762062254325j)
8,(-0.8436614877321074-0.8436614877321074j),(-0.5848751256466097-1.0480116720804376j),(-0.5704055813732746-1.0130893525718514j),(-0.3801168802385946-1.1024370550915064j),(-0.40334827326884676-1.1206344025806168j),(-0.006434281880854901-1.2036189503524937j),(-0.032018717422329264-1.2083610152691246j),(0.43823260244502005-1.1312331049728772j),(0.40108958937509687-1.1297766107226181j),(0.6143408717754164-1.016349640370403j),(0.5793323536926485-1.019341146068865j)
9,(1.1504474832710556-1.1504474832710556j),(1.4615803744042004-0.7697323901731363j),(1.43546760117019-0.800100685381112j),(1.5263011118379506-0.5415935866203601j),(1.5154959522784677-0.5503350318644896j),(1.6458512216829633+0.043055014398085734j),(1.6115409930703641+0.024118801888771045j),(1.5053391014304747+0.5660487798928928j),(1.5323564702733923+0.5581388857913422j),(1.4059407908738044+0.8214765821481813j),(1.4094669173208814+0.8068386516823991j)
