,received1 low,received1 high,received2 low,received2 high,received3 low,received3 high,received4 low,received4 high,received5 low,received5 high,received6 low,received6 high,sent
21,(0.703893738571495-0.19123940229783634j),(0.6339857519061758-0.2008079958140632j),(0.711949787975177+0.02056222999619178j),(0.6648962529547975+0.041582486014974586j),(0.6714788520295157+0.08177267488058643j),(0.6864337991915351+0.07222424286995902j),(0.6161816393414422+0.10633514531805632j),(0.6460904500016944+0.15846087854019136j),(0.6317282104021852+0.4054482079671327j),(0.5313577059941494+0.35440228157404485j),(0.3994601181638757+0.3795834360127438j),(0.43799304078692824+0.48030993654387844j),(0.5860664504361822-0.35163987026170934j)
22,(0.2368174134527277-1.056935694015145j),(0.19216744150086462-1.0482010484331128j),(0.4986526342391181-0.9317263708508065j),(0.5098334011707627-0.9190434539355584j),(0.5308336385878474-0.8507164542989728j),(0.5344680071033608-0.9187946236652756j),(0.6009838448128594-0.8981239915001592j),(0.6580862525532413-0.8302966425327301j),(0.8368882325604684-0.5413951514300152j),(0.9187311037938468-0.5080979461505392j),(1.0367448245626596-0.3485848255520308j),(0.9808403274485364-0.4025933399883146j),(-0.11721329008723645-1.054919610785128j)
23,(0.9008093227540109-0.3267149211875996j),(0.8988243944255853-0.2909281045743925j),(1.022074207974816+0.007904269583675964j),(1.0254846402221975+0.002242902744997626j),(1.072950376167432+0.017698469448918074j),(1.0741706382757605+0.0437644567966258j),(0.9682367627130987+0.16945172513398438j),(0.978362771752332+0.1728439699777236j),(0.8428109635679958+0.49668134562703514j),(0.8801138874735016+0.495829934671524j),(0.7862810690412508+0.5740426747804641j),(0.7654848705042101+0.5889522400387123j),(0.8204930306106551-0.5860664504361822j)
24,(0.7754394731318714+1.0796043794947334j),(0.8191319215428087+1.0711953010074173j),(0.4143505419379339+1.241828013819965j),(0.420495295512778+1.267488915149721j),(0.2799458626734618+1.3056699573126687j),(0.3249446655374115+1.2874295933414461j),(0.17846041341215058+1.3478939698984869j),(0.1808220370600124+1.319311502516839j),(-0.30211844439604724+1.3372302144079378j),(-0.3126695882316157+1.3103186291172444j),(-0.4896978864669488+1.2355025130445154j),(-0.5175582055621162+1.207709455090614j),(1.054919610785128+0.8204930306106551j)
25,(-0.09479470099118566+0.06092399543176734j),(-0.09212782903741873+0.0725354914157724j),(-0.2244683990944859-0.026541344831893632j),(-0.17848254793727916+0.03772900280774999j),(-0.08588472643821862-0.04614029003399572j),(-0.15179662978031594+0.04643769155034806j),(-0.18585471448822827-0.00778332441049191j),(-0.1689089198165682+0.03655926625772484j),(-0.12993089424341345-0.124453426338236j),(-0.1874864822480372-0.051816524873360525j),(-0.20609375688155174-0.06112114702555841j),(-0.1304214363650644-0.05853269947138373j),(-0.11721329008723645+0.11721329008723645j)
26,(0.7235800143491401-0.6405020517598589j),(0.8118797110232515-0.6047590331923733j),(0.9643899389326384-0.35956494448592713j),(0.9613128557819904-0.35873396948874636j),(0.9863936673650961-0.3659333153990027j),(0.954078995233464-0.30073412633361823j),(1.0146980825264853-0.11788855028371512j),(0.9763804201573986-0.18073856067454402j),(0.9708030981853472+0.191112755853384j),(0.9572497252489989+0.19187561176617962j),(0.9978845678062722+0.29375542928645904j),(0.9477088171288428+0.3465763502281999j),(0.5860664504361822-0.8204930306106551j)
27,(1.2642405738611262+0.2004001141856525j),(1.3070949179167186+0.22919026543045756j),(1.1982962088955402+0.6175800682354349j),(1.1007504602871045+0.6641132203887145j),(1.103845866056703+0.700360140648796j),(1.1039997300077484+0.6897493150522044j),(0.9763631056992003+0.8262742728618085j),(0.9830654088713737+0.8410223162744618j),(0.6546671498628978+1.1838608456595854j),(0.6409187392703785+1.1117284554795794j),(0.39198696562403+1.1691250265662914j),(0.41243212587483846+1.2239270965295597j),(1.289346190959601-0.11721329008723645j)
28,(-0.6527325249523906+0.26337277046849417j),(-0.6537203724723558+0.16881616864982013j),(-0.6447236260712751-0.021450218734190927j),(-0.6553050520849816-0.05868487518041604j),(-0.6060548644785159-0.13488114261957926j),(-0.6604612948282035-0.06150998420320812j),(-0.7176933764065249-0.12588664097523722j),(-0.682250130372332-0.16765881335606583j),(-0.646654447705693-0.3560794845404935j),(-0.534868108688132-0.3778880132784414j),(-0.4181610638486317-0.48956562959932937j),(-0.4762790920198893-0.5048212567738625j),(-0.5860664504361822+0.35163987026170934j)
29,(1.2138512939284813+0.1924614240964223j),(1.2677102351610416+0.24832787763376069j),(1.1439252902044517+0.6406425977498236j),(1.1222381000792754+0.5965563452746623j),(1.0829613329672345+0.6695773090879173j),(1.0761157518199005+0.6740889981401197j),(1.0669282462098286+0.8683748633040294j),(0.9593039655018016+0.8057953261054852j),(0.6821638414053224+1.1637601494066856j),(0.6422077035396205+1.1306850739597663j),(0.43220794113585087+1.2586751530920268j),(0.44790353621838613+1.2159803088046899j),(1.289346190959601-0.11721329008723645j)
30,(-0.580034113647653-0.010037610278885271j),(-0.5675316896302847-0.03274880632303272j),(-0.5610921592385169-0.23454521093747155j),(-0.6008454015805013-0.24828746542416158j),(-0.49899342736134433-0.2358100647713801j),(-0.5120000127584273-0.2818685082327619j),(-0.46044753438398717-0.3458941524070084j),(-0.4892066948574104-0.3655924333496966j),(-0.32219415570342114-0.48487265234348015j),(-0.3151267629237172-0.4844281469035792j),(-0.24739331569493503-0.45378268266818766j),(-0.2585265286269238-0.524541783561697j),(-0.5860664504361822+0.11721329008723645j)
31,(-0.6582920313974635+1.1726559066639388j),(-0.6579672808304006+1.1181218936396977j),(-1.0790470899943285+0.7842877599971513j),(-1.0604178053336102+0.8494987872446939j),(-1.0184804570904051+0.7874944677250448j),(-1.065887181613715+0.8481946461790312j),(-1.1601237757407494+0.6266025065315908j),(-1.1559999424625806+0.6368091337656505j),(-1.3417608689319+0.1829957742122229j),(-1.2929369832962583+0.24805363326728683j),(-1.3524705699370192+0.11217544909497612j),(-1.350869190053788-0.021155353413935866j),(-0.35163987026170934+1.289346190959601j)
32,(-1.1753564212238465+0.2804026048231616j),(-1.1708956430533506+0.27718758068919036j),(-1.1974050298626269-0.16383328770451955j),(-1.2158712290039089-0.14143134842758304j),(-1.134609157058119-0.16522278722112296j),(-1.2054320608284859-0.15469846646703334j),(-1.152208020294592-0.3101390934651063j),(-1.1485209823969014-0.32395548369103744j),(-0.9666426946056524-0.6711374487556118j),(-0.958997441298288-0.763460132519038j),(-0.8296582289142875-0.8670832057132242j),(-0.8750476076133827-0.8128523281187198j),(-1.054919610785128+0.5860664504361822j)
33,(-0.12219189744684146+1.3010600825746075j),(-0.2462660890530429+1.2499595572538598j),(-0.667089108828705+1.150356048630284j),(-0.6211551762946692+1.1431670427859904j),(-0.6479438142686288+1.1042965186189775j),(-0.7173615327864802+1.0777427370214312j),(-0.8836753630471899+0.9470150099090068j),(-0.8026994262542692+0.9841328582570642j),(-1.209314148336768+0.6222561867808822j),(-1.0781333902297658+0.649949462921886j),(-1.2368917775385513+0.4744658283718456j),(-1.2396671552484315+0.467187828541221j),(0.11721329008723645+1.289346190959601j)
34,(-1.08809291645319-0.9389733077623457j),(-1.0742409664788228-0.9248427927994749j),(-0.7362749328433613-1.2542714201405345j),(-0.723419869432436-1.193757495624934j),(-0.6328707352858394-1.2546202230101147j),(-0.6722697438022288-1.2352528682074935j),(-0.48261834919519403-1.2936149077565968j),(-0.5007231794423557-1.3536460707318916j),(-0.06232992874061297-1.3516876481430444j),(-0.006828511165366678-1.446056581539563j),(0.22415438621248313-1.3956029181913783j),(0.24873537901517204-1.4306273961802531j),(-1.289346190959601-0.5860664504361822j)
35,(0.5155779764701995+0.06391287056942865j),(0.5863068580585183+0.013948302638072098j),(0.48484818283567194+0.2378291259683144j),(0.5786536740428093+0.2348675819749652j),(0.5443200915815049+0.2385046323434564j),(0.5389468120824947+0.24180318208195464j),(0.5125930024514062+0.375238381372595j),(0.4900972238570622+0.34132120161431156j),(0.3567449589389189+0.39814940373415786j),(0.34589280981046544+0.5167266956536222j),(0.24169260816929788+0.5058567531191156j),(0.2595298175867271+0.5229239365435062j),(0.5860664504361822-0.11721329008723645j)
36,(0.8353484805258818-0.10762241291162893j),(0.8882195912028009-0.09916789526502297j),(0.8649994885105516+0.25954333446007866j),(0.8879368731214412+0.21373364605141779j),(0.9201190502058629+0.20336843373891125j),(0.8643369214667573+0.27911971840171484j),(0.9132966220588675+0.3629951453377723j),(0.8239297609235423+0.32884946252655645j),(0.6977279064122028+0.5526120661082374j),(0.6901145928406257+0.6305609198092661j),(0.5429579961371995+0.7142929853594004j),(0.5649022802522314+0.7143525214395363j),(0.8204930306106551-0.35163987026170934j)
37,(0.8772967072088153-1.0572958301064375j),(0.9239568800180968-1.1065838277337032j),(1.2909638806210366-0.7691891554747966j),(1.2168526323917805-0.7400340702378668j),(1.2919217262048563-0.6724395709070643j),(1.2856430450443106-0.6765751878689865j),(1.298710463498855-0.4201778382773491j),(1.3101773384392519-0.521824273113215j),(1.4171379430095268-0.004640012953144197j),(1.4433043929275426-0.029118620052145112j),(1.4203004902384668+0.2730009197033177j),(1.413792614300338+0.24708526900809236j),(0.5860664504361822-1.289346190959601j)
38,(0.7173166279919377+0.27860969739831504j),(0.7457058340500223+0.3115534808154028j),(0.6175025977264915+0.5531303086304186j),(0.5567437717073518+0.5639321611260092j),(0.6089962518843555+0.5784930874653493j),(0.5593371497466326+0.612652844214285j),(0.46831777074524933+0.6891983832595445j),(0.5008161432575267+0.6278760403715428j),(0.27079666295615973+0.7381785040762205j),(0.23465362689735572+0.7788859684749164j),(0.11276424150572188+0.8416502035566461j),(0.09831922113699422+0.7852865232225567j),(0.8204930306106551+0.11721329008723645j)
39,(1.068514692580055-0.06076808948413117j),(1.0805557441669875-0.05984695617275427j),(1.066142527183483+0.2801389870326753j),(1.0588647964235622+0.3383202096589978j),(1.088533496487247+0.320776471931719j),(1.0826177036251297+0.34216662971189343j),(0.9563631288237247+0.5104583689914487j),(1.008720085987964+0.5342091649557845j),(0.7757019113555467+0.7975758097150043j),(0.7676807340710724+0.8242818971641123j),(0.5717425501298916+0.9564543318222484j),(0.6015316842877375+0.9403707481561968j),(1.054919610785128-0.35163987026170934j)
40,(-0.3114816470364402-0.4622816255294824j),(-0.2238651514916842-0.44160823614395783j),(-0.04776965093441695-0.5224248366296428j),(-0.07411368104966036-0.43509936817359307j),(0.021574272813310758-0.47357826470360054j),(-0.06197270225697765-0.4683289107437407j),(0.012480473842134682-0.5025572834616104j),(-0.008013559503882658-0.5100369829520396j),(0.14903796409418263-0.4764176526889678j),(0.14008292281790813-0.4878775603157526j),(0.3069802734424364-0.47394542856747984j),(0.21950974458014563-0.45544237466496157j),(-0.35163987026170934-0.35163987026170934j)
41,(-0.08500029176690478+1.3001384797929079j),(0.0003821627626042941+1.3377379529409814j),(-0.44618006701291896+1.2240781141082782j),(-0.43908511730680677+1.262303018671857j),(-0.5847814481800321+1.183476808171567j),(-0.5376658820039828+1.276689740178444j),(-0.6708485399507838+1.1410769387417856j),(-0.613788715113606+1.1868003504123354j),(-1.0202071530532357+0.9477718926065148j),(-1.0134749562591587+0.8617474855085537j),(-1.165758241205974+0.7084211930181383j),(-1.1829853604944585+0.6625578508973629j),(0.35163987026170934+1.289346190959601j)
42,(0.2811858928426408+1.1034879674204543j),(0.29921548090596245+1.1797774956329372j),(-0.13328324066099612+1.2417949084934663j),(-0.10675932501676288+1.1825804406141862j),(-0.1541032182941161+1.1346614731086315j),(-0.17361625499610295+1.1950501722799098j),(-0.35867450904307147+1.1691453536620084j),(-0.34324338524794556+1.1946662910116155j),(-0.7389634634972975+0.9299637074351467j),(-0.6901436850400361+0.9558173313917775j),(-0.888203819128747+0.9163203769338106j),(-0.8974004270981111+0.8568429121327759j),(0.5860664504361822+1.054919610785128j)
43,(1.162828507128309-1.0234023580779747j),(1.1782232578231606-0.9804183083701735j),(1.2797442905106629-0.5564507513616842j),(1.4142339937102981-0.5681958826504973j),(1.4032913616062261-0.48358560379257665j),(1.3992310993530472-0.5142326107414552j),(1.4894325621451832-0.30769106843640426j),(1.4673864510092365-0.3236397839101639j),(1.5241060645287128+0.2605750960722385j),(1.5259432628430434+0.21820556397086827j),(1.454284298524697+0.4934238159259878j),(1.4674902713155384+0.4694140321541301j),(0.8204930306106551-1.289346190959601j)
44,(-0.7632779888877863-1.0811359766811977j),(-0.7963505060796172-1.0728738965489475j),(-0.43067579395922706-1.2785061542996723j),(-0.38558611633534984-1.2527941769581972j),(-0.3643338195804425-1.267090693546715j),(-0.32365773321404195-1.3003254679839888j),(-0.17749342865755424-1.3165938492126852j),(-0.15446614725940921-1.28427246401745j),(0.350950873948706-1.2608964005173415j),(0.29576199299885764-1.2954387219047672j),(0.5433037828411551-1.2513697849642758j),(0.5258961789698622-1.2346048081655125j),(-1.054919610785128-0.8204930306106551j)
45,(-0.8886173834315424-0.9005951569323265j),(-0.8618075034672712-0.8182836992058478j),(-0.5985971931255215-1.0698916223769064j),(-0.5347882594176313-1.1132541621246546j),(-0.45820614872077575-1.1000368042577198j),(-0.5026288285205814-1.0972361086869633j),(-0.37762871764958716-1.1293945187326542j),(-0.38871574060749575-1.1108789954277871j),(0.040333910414156085-1.1557560672069174j),(0.08255035613054529-1.2603614155512222j),(0.2989304476552285-1.1727278060314672j),(0.25665728843683816-1.2124221028564326j),(-1.054919610785128-0.5860664504361822j)
46,(-0.375346055406097-0.7461323262136808j),(-0.39416238045117225-0.7252173674432303j),(-0.19415391260195636-0.7573977757604281j),(-0.14860887121851862-0.8251839004121989j),(-0.017990305814890736-0.8269273957234191j),(-0.1378093883563291-0.8295446660202793j),(0.00875795992051828-0.8693089598430117j),(-0.009403599870932209-0.767787682538578j),(0.276352355917293-0.7577507645321435j),(0.28654492574113066-0.793439440567201j),(0.3929534427046291-0.7224087379955991j),(0.42366711738346585-0.6663695766341663j),(-0.5860664504361822-0.5860664504361822j)
47,(-0.09891059609738366-0.8997874097816432j),(-0.10244576843684941-0.8811341138252698j),(0.20593707265072372-0.8729744656272701j),(0.1635875663363214-0.8389559557648493j),(0.27640494093864326-0.8880946207567069j),(0.18492732010444515-0.8424387478698265j),(0.28471222073804614-0.778566698680247j),(0.31307970964284737-0.8499938122046459j),(0.6092592901086167-0.6926273323900674j),(0.5899657002860689-0.6937828597800019j),(0.6969364697837994-0.5732661531584494j),(0.6576609239684927-0.5529720809210191j),(-0.35163987026170934-0.8204930306106551j)
48,(-0.96238977718928-0.4603706271011849j),(-0.9627766414572038-0.3875447577127436j),(-0.849616163554479-0.6969920812396582j),(-0.8029569566348652-0.6835594600659125j),(-0.7440897708742759-0.7200341290455432j),(-0.741737389585189-0.7283492987991035j),(-0.7171345471182603-0.8432426657071207j),(-0.6773281757607078-0.8474250002772369j),(-0.32721359128370914-1.0034285371517382j),(-0.36812554468273856-0.9966291137416305j),(-0.15849117468059248-0.9896553883915229j),(-0.17438338310879165-1.073757697438336j),(-1.054919610785128-0.11721329008723645j)
49,(-0.44654065934392956+0.028021214585977453j),(-0.33333639008647126+0.015978912216268577j),(-0.29445678183589524-0.13643371776743515j),(-0.3197415590644897-0.11175427192010774j),(-0.3388309089228888-0.12969819458088988j),(-0.36883659142550684-0.07945433470363347j),(-0.28800612685903254-0.15214628782448053j),(-0.3503494492837259-0.18349084987714462j),(-0.30170153314256454-0.2329402429161619j),(-0.2522612843298961-0.30797752541270945j),(-0.19644360015032575-0.34244431855710245j),(-0.18918440154090027-0.31069763038552717j),(-0.35163987026170934+0.11721329008723645j)
50,(0.27535926280555595+1.2302859108519597j),(0.2666971738061075+1.1702072733723776j),(-0.141876093541077+1.1002086601066845j),(-0.12017997272247112+1.1649792418081057j),(-0.2259221351822209+1.1977875764439307j),(-0.16030624334517685+1.2161288951334108j),(-0.36039585145667474+1.1843910187366666j),(-0.3269603409871126+1.1763724798563244j),(-0.6930357447546762+0.945608738615007j),(-0.6929510092005666+1.0339218951356604j),(-0.8422826411819632+0.8421332194820245j),(-0.8984659280780828+0.8480232380689254j),(0.5860664504361822+1.054919610785128j)
51,(0.5818449189370298+1.2655177107862394j),(0.4400013934442093+1.2558348546982558j),(0.07976494485933523+1.4289244222752007j),(0.036145201465396515+1.3153332156717479j),(-0.06020700188960082+1.2393242698838j),(0.019436229474416172+1.3187361444614139j),(-0.17974773263412702+1.29220697954943j),(-0.15509560512701595+1.3081701336850964j),(-0.628893038611465+1.2553588945064817j),(-0.6347224805960179+1.1944793573414656j),(-0.7962233018468847+1.0692741965957981j),(-0.7823884864610193+1.0858876616946336j),(0.8204930306106551+1.054919610785128j)
