K,SNR,SML Results
10.0,22.0,0.004140538843900495
20.0,22.0,0.00022039467953643684
30.0,22.0,0.00012984664931814914
40.0,22.0,0.00009732564558132648
50.0,22.0,0.00007480682822502955
60.0,22.0,0.00006231135629860558
70.0,22.0,0.000053944684151284125
80.0,22.0,0.00004624841918678225
90.0,22.0,0.00004404133930501974
100.0,22.0,0.00003823020700282791
10.0,27.0,0.00010479668935781147
20.0,27.0,0.000049498803641709656
30.0,27.0,0.000035487013635086076
40.0,27.0,0.000026232884936525668
50.0,27.0,0.000020400181193125446
60.0,27.0,0.000017532092789276033
70.0,27.0,0.000013937370484486148
80.0,27.0,0.000012472387762736139
90.0,27.0,0.000011069256358420823
100.0,27.0,0.000010023369515813995
