,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
0,0j,(15.74324+22j),(15.74324+27j),(25+22j),(25+27j),(45+22j),(45+27j),(65.3546372+22j),(65.3546372+27j),(75+22j),(75+27j)
1,(-0.7715167498104596+1.0801234497346435j),(-1.0102888036209585+0.744223793048332j),(-1.0621535674585065+0.8560259600699894j),(-1.252180410211489+0.6439964320405541j),(-1.159232362676532+0.6634555974687601j),(-1.2759706594412712+0.3139922333351282j),(-1.2861340955745881+0.17726828110291776j),(-1.256529211128147-0.27188125576210376j),(-1.339173952373587-0.26483636640630404j),(-1.2552842662898822-0.3942518766347382j),(-1.2507135524048474-0.4125487024669616j)
2,(1.0801234497346435+0.1543033499620919j),(0.9206826211648799+0.327065923535346j),(0.987717429724959+0.4067368255823727j),(0.8580841598710437+0.6386279387028643j),(0.8533378584178642+0.5921417645376246j),(0.6529890524855386+0.8321023967576642j),(0.6311111015118673+0.8489500155990555j),(0.3332817611651025+1.0942339357504938j),(0.2934330664673793+1.0754963511704536j),(0.19011493364394183+1.105269494696395j),(0.1626310884730302+1.0785186574026615j)
3,(-1.0801234497346435-0.1543033499620919j),(-1.018389489388231-0.5049374321061715j),(-0.9962682322580253-0.4015622936257309j),(-0.9881078767232919-0.71390542734272j),(-0.899241196769392-0.5763610873095419j),(-0.6242443144365306-0.856240269702912j),(-0.6972588017552135-0.881967027310999j),(-0.20136235241407946-1.1358270718926409j),(-0.28407219549883306-1.0696328876141024j),(-0.13232178282923973-1.1252622693090684j),(-0.08994024528794059-1.085396619669687j)
4,(-0.1543033499620919+0.4629100498862757j),(-0.25717616334743254+0.4060222284826334j),(-0.279960048644785+0.4052410936920219j),(-0.3338647810852451+0.24643321500884421j),(-0.305196252512774+0.3287552080500957j),(-0.45039409447395407+0.24388866501704223j),(-0.46695736566408724+0.19021203380193166j),(-0.5489673682066366+0.05686370884973674j),(-0.4815490219151701+0.0700484432796462j),(-0.491392353324958-0.044387862030617994j),(-0.5093467367343391-0.08286169188332332j)
5,(-1.0801234497346435-0.1543033499620919j),(-1.0266636162788068-0.29034675130051346j),(-1.0385278156621474-0.5156433173895707j),(-0.8977463169097581-0.5602025561757976j),(-0.9780956612163534-0.5736512488036388j),(-0.5614295986819017-0.8991591494508419j),(-0.638599978338908-0.8147583807013329j),(-0.3099935772124194-1.0593562177281057j),(-0.34693809021461613-0.9777293213814648j),(-0.14523166238890767-1.1102318103006175j),(-0.1351408232030595-1.072629748906008j)
6,(-0.7715167498104596+1.0801234497346435j),(-1.0553060884888916+0.820968610703237j),(-1.0427377614575457+0.7748866903538143j),(-1.1151570021893489+0.6069608885797841j),(-1.1153250974966902+0.6225158756741058j),(-1.3148328510381107+0.2714714937404898j),(-1.350346981930302+0.16776154086589812j),(-1.3213273078321517-0.2993348182089279j),(-1.3063287171144755-0.2433341329444j),(-1.108023026630935-0.4869208845131717j),(-1.2108127566292086-0.40468036830997584j)
7,(-0.1543033499620919-0.1543033499620919j),(-0.13333797900340574-0.19132335748204676j),(-0.15060105161799353-0.21829944963512365j),(-0.051075244395344103-0.10490506939693135j),(-0.0869388945700299-0.22805633879643328j),(0.023332262801846308-0.2147118209820003j),(-0.055627805417595766-0.2675603137251882j),(0.010381309705534164-0.18980359743134573j),(0.050869606348220985-0.17640808925692403j),(0.03544530665695998-0.23465339395986395j),(0.09946273890597147-0.20887188853408872j)
8,(1.0801234497346435+1.0801234497346435j),(0.6862112001452942+1.3848235610220962j),(0.6479167815786013+1.3423154415290024j),(0.5731559217836987+1.4589273887389134j),(0.5014574363352302+1.4453046622995074j),(0.0017413503897931424+1.4814227803341364j),(0.04467810404817365+1.524179992853446j),(-0.5172150552801933+1.4092572922498368j),(-0.5152652227136741+1.4992383490104932j),(-0.7706473304091221+1.3634912645138535j),(-0.7954565854754428+1.31068977477019j)
9,(-0.4629100498862757-0.4629100498862757j),(-0.2193922479834486-0.6501175401997503j),(-0.3197722796157899-0.5945787921655555j),(-0.2577893411207291-0.4998169491231657j),(-0.20525522011478875-0.5997835458410724j),(0.12160289144887516-0.6049834203361961j),(-0.03971637511078763-0.6591984966775498j),(0.17678877670578574-0.665727488635291j),(0.2331498983955062-0.6167669308002268j),(0.3117363980890415-0.508830872367097j),(0.3372528690216796-0.5284022547702979j)
10,(-1.0801234497346435+1.0801234497346435j),(-1.2133484848935223+0.9024838481888934j),(-1.2931481134869298+0.7334358420330009j),(-1.4070471738501764+0.5276745133283435j),(-1.4209367798506072+0.5270623281863296j),(-1.5149414983350806-0.003213336041693838j),(-1.5344041081961666+0.038135703691572646j),(-1.3606339787777288-0.56793849660393j),(-1.4359851074187306-0.5389472599683637j),(-1.29464011265834-0.7143538289865193j),(-1.2885512183404444-0.7666993154383329j)
11,(-1.0801234497346435+1.0801234497346435j),(-1.3369615330067621+0.7623277831469789j),(-1.3413227804799521+0.7284152467407526j),(-1.314099802178919+0.5386000012270405j),(-1.4423608572676787+0.5258552125215504j),(-1.506848955634863+0.02087318730336527j),(-1.5358802254447073-0.03428792970046436j),(-1.4146099348125878-0.46881438363555017j),(-1.3853611144592182-0.5512689843806576j),(-1.315809852236492-0.7055808034890304j),(-1.3345009153283325-0.802291187374034j)
12,(-0.7715167498104596-0.7715167498104596j),(-0.5373146063126719-0.9668510440068099j),(-0.5286457416277467-0.9546402823088018j),(-0.40780318356800277-1.0557462425392976j),(-0.3651757783973387-1.0092823574080443j),(0.029197490505573343-1.08453116768292j),(-0.04709606462954008-1.118732642340914j),(0.3902530321169929-1.0507009839242865j),(0.40074171794574-1.0426927712400085j),(0.43994385376474743-0.9322128424442503j),(0.5215872780155713-0.9969989500487507j)
13,(0.7715167498104596-0.1543033499620919j),(0.8696518601231995+0.11437504739582029j),(0.6972934018064418+0.058274612316962224j),(0.7352865848805551+0.19368265149054492j),(0.7929986724132543+0.18469570431950524j),(0.6804437637599549+0.3767504904126929j),(0.6621954366240812+0.41015884567653504j),(0.47352544914834743+0.566796144202314j),(0.513729634767792+0.640507907362392j),(0.20317865025834572+0.5880453055144591j),(0.37795792933545386+0.7542698554487131j)
14,(-1.0801234497346435-1.0801234497346435j),(-0.7845999238625849-1.3629606027372991j),(-0.7864667645024033-1.2767176034101309j),(-0.5336958422559899-1.3778196219971341j),(-0.4963665118322505-1.4527898224083209j),(0.054180502644502956-1.5995273415618319j),(0.016545437863551987-1.4511868731746898j),(0.5014277249112157-1.5004078685349094j),(0.546003821541233-1.45226162130109j),(0.8064533174628163-1.2998323866150638j),(0.763558433925936-1.3020936507940084j)
15,(-0.1543033499620919+0.7715167498104596j),(-0.3669992492335135+0.6840350904334506j),(-0.35066640216887945+0.6571579827946589j),(-0.5106109031756485+0.6292694514779561j),(-0.48824832283462677+0.6392593470380485j),(-0.6307283580566443+0.45897873889680063j),(-0.637537869182582+0.5075920499076487j),(-0.8152840491386322+0.07408136545884993j),(-0.7700257490183212+0.17936998721008487j),(-0.8390650030550164-0.00959177161061954j),(-0.781083792695399-0.0033642000582972398j)
16,(0.4629100498862757+0.4629100498862757j),(0.33024449552371576+0.5052371432878017j),(0.29179380286616713+0.565411083232079j),(0.228998374898647+0.5788815387983917j),(0.21656210958738575+0.5818046822061944j),(-0.0480578220833479+0.5471022732531843j),(0.034455696039469276+0.6518297200866707j),(-0.19642665125592382+0.6348507231096978j),(-0.2607505927135738+0.5678455148303432j),(-0.38326532655917855+0.5208611673644823j),(-0.38859735004572826+0.5635817190568491j)
17,(-0.1543033499620919-0.1543033499620919j),(-0.10063824247977732-0.12398010755242944j),(-0.09658318865033716-0.25006618533905606j),(0.05265108493398159-0.11852354012156917j),(-0.07572486604326713-0.21029374532770528j),(-0.0101714108389775-0.1697711216218005j),(0.0185397166412496-0.2574375675351389j),(0.09908814157510637-0.29505991622086664j),(0.03677752319881712-0.11434428914295738j),(0.15235774876371977-0.09713518992702817j),(0.11383414842821524-0.1813840614315748j)
18,(0.4629100498862757+1.0801234497346435j),(0.16157705681860313+1.249745952430039j),(0.13968404435199736+1.2072914250629176j),(-0.0226101459337067+1.09802521894449j),(-0.024145436585892216+1.1607553468865015j),(-0.4191268694050378+1.087321107607332j),(-0.4476398747962128+1.069047717260044j),(-0.733671039205963+0.8660812874674463j),(-0.7636008425582063+0.8722189780220752j),(-1.0672568286305282+0.7186468575409135j),(-0.9127701562999899+0.7519706917427897j)
19,(0.4629100498862757+0.7715167498104596j),(0.2115910039283033+0.8487344675098755j),(0.2227581385382764+0.8352309236094687j),(0.10869586380817024+0.8843234375429702j),(0.07313638777042854+0.9223298855131735j),(-0.25814419230514635+0.8770106264447236j),(-0.1907849209323026+0.855351505445395j),(-0.4644101158579444+0.7101531515413145j),(-0.5351269058041087+0.731760813847506j),(-0.6723890816123649+0.6277879153673342j),(-0.6377567894045698+0.5966734527663861j)
20,(0.7715167498104596-1.0801234497346435j),(0.9906548695308626-0.9219241240990997j),(0.9945267227229986-0.817801369609262j),(1.232574162680719-0.6528112668012712j),(1.1392951787168946-0.589423742867631j),(1.2161563539295948-0.368064062826971j),(1.3010082121350799-0.18397112300130497j),(1.2578620648600303+0.21233857825883884j),(1.2174549790408726+0.2530982044789101j),(1.2123623384964028+0.4459763042526382j),(1.2217200244613216+0.4373412607033764j)
21,(-0.4629100498862757-0.7715167498104596j),(-0.26642534956430053-0.8411337467863438j),(-0.20986482471890802-0.8610830280876273j),(-0.0775099607020036-0.8936525880784569j),(-0.09480005123111751-0.8773380061597613j),(0.2772549514235076-0.8138463319452734j),(0.22822632760731576-0.8567855720748696j),(0.4458489456678591-0.7724248639515153j),(0.4893664878582051-0.7140650970475569j),(0.6546317834071207-0.6569828402336227j),(0.6318710104595825-0.6657378638461404j)
22,(-0.4629100498862757+1.0801234497346435j),(-0.8151641538365235+0.897491353582842j),(-0.7144819084631784+0.9218300772734257j),(-0.9008804575373873+0.8064360001808809j),(-0.8897147746114967+0.8214057551576649j),(-1.1011202103373998+0.4857233507908722j),(-1.0670584725785397+0.47446024769995737j),(-1.2596786020926205-0.0239893167716975j),(-1.2259416770441025+0.006597225066832222j),(-1.1452198667867768-0.21814219245311295j),(-1.135229224171645-0.19407567959740246j)
