K,SNR,SML Results
10.0,19.0,0.0032947686605188705
20.0,19.0,0.00036184939321755186
30.0,19.0,0.0002399142564044508
40.0,19.0,0.0001769550605273917
50.0,19.0,0.0001359557017970606
60.0,19.0,0.00012034886587138935
70.0,19.0,0.00010049904426816768
80.0,19.0,0.0000896995646179899
90.0,19.0,0.00007786946253843531
100.0,19.0,0.00006733203021046602
10.0,24.0,0.00020588861154406042
20.0,24.0,0.00010210158284975413
30.0,24.0,0.00006439380495142376
40.0,24.0,0.00004941088094702542
50.0,24.0,0.00003757613075134503
60.0,24.0,0.000033194623031156554
70.0,24.0,0.000030326634659935365
80.0,24.0,0.000024524527710424178
90.0,24.0,0.000021830904969617265
100.0,24.0,0.0000202287376893449
