K,SNR,ML Results
10.0,25.0,0.008995355948044553
20.0,25.0,0.0009739640858271582
30.0,25.0,0.00006520200272603872
40.0,25.0,0.00004443183252850091
50.0,25.0,0.00003635814473249601
60.0,25.0,0.00003082557908488658
70.0,25.0,0.000026260025295936982
80.0,25.0,0.000023331951942496788
90.0,25.0,0.000020189569005078863
100.0,25.0,0.00001846501477994498
10.0,30.0,0.000052191105457482525
20.0,30.0,0.000026287893478306793
30.0,30.0,0.00001675210402766325
40.0,30.0,0.000013606630117954764
50.0,30.0,9.835210403616367e-6
60.0,30.0,8.631647563175168e-6
70.0,30.0,7.069614222172515e-6
80.0,30.0,6.459241591077556e-6
90.0,30.0,5.4000810166077e-6
100.0,30.0,5.428778895205876e-6
