K,SNR,SML Results
10.0,25.0,0.024261310825732702
20.0,25.0,0.0050686605030008346
30.0,25.0,0.000993263631936391
40.0,25.0,0.000411478401635069
50.0,25.0,0.005691161036538897
60.0,25.0,0.00009975479361000269
70.0,25.0,0.00037399247336342384
80.0,25.0,0.0000365053067025488
90.0,25.0,0.00016014334728231978
100.0,25.0,0.00003497966746531242
10.0,30.0,0.00005726163043429662
20.0,30.0,0.00002639472356227901
30.0,30.0,0.000018132326864898248
40.0,30.0,0.000013543105272568917
50.0,30.0,0.000010249280576942256
60.0,30.0,9.107191312943453e-6
70.0,30.0,7.513077181514126e-6
80.0,30.0,7.84541347086929e-6
90.0,30.0,6.238288074220461e-6
100.0,30.0,5.493254011334603e-6
