K,SNR,ML Results
10.0,19.0,0.005683016281995171
20.0,19.0,0.0006106226666616974
30.0,19.0,0.0002530552426540121
40.0,19.0,0.0001918544743587204
50.0,19.0,0.00013340102219960685
60.0,19.0,0.00011066331294960158
70.0,19.0,0.00010103255122399225
80.0,19.0,0.00008809113471441917
90.0,19.0,0.00007999491058651095
100.0,19.0,0.00007034577950532774
10.0,24.0,0.00020338267027447012
20.0,24.0,0.0000959161328093765
30.0,24.0,0.00006467554012246414
40.0,24.0,0.00005078948172282284
50.0,24.0,0.00004216120639983114
60.0,24.0,0.00003218868796317506
70.0,24.0,0.000028963302085427894
80.0,24.0,0.000025902658516361754
90.0,24.0,0.000023216214183336546
100.0,24.0,0.00002121467180254452
