K,SNR,SML Results
10.0,25.0,0.007195734988447793
20.0,25.0,0.0006411062134786991
30.0,25.0,0.0000649648328508625
40.0,25.0,0.000049593486224183154
50.0,25.0,0.000038205335053189956
60.0,25.0,0.00003107316697366896
70.0,25.0,0.000027847841747014728
80.0,25.0,0.00002246841143434198
90.0,25.0,0.00001927090708998184
100.0,25.0,0.00001770725567725914
10.0,30.0,0.000055202147063509405
20.0,30.0,0.000026099392121177697
30.0,30.0,0.00001765089985731067
40.0,30.0,0.000012343325311703726
50.0,30.0,0.000010152679761878195
60.0,30.0,8.58400805243634e-6
70.0,30.0,6.809315368488202e-6
80.0,30.0,6.630745755095394e-6
90.0,30.0,5.870098731906529e-6
100.0,30.0,5.538213737471824e-6
